SPN,FMI,Foutcodelijst,Foutcode,Omschrijving,Categorie,Oorzaak,Effect,Aangeraden actie
27,2,Cummins - Stage V,Engine exhaust gas recirculation 1 valve position,"P1228 - EGR valve position - data erratic, intermittent or incorrect",Warning,,,
27,4,Cummins - Stage V,Engine exhaust gas recirculation 1 valve position,"P2272 - EGR valve position circuit - voltage below normal, or shorted to low source",Warning,,,
29,3,Terberg - CC2 (ytxx3) - 4.1,Accelerator pedal position 2,Accelerator Pedal position 2 sensor short circuit to battery,Critical,The controller measures a voltage above 2425mV for at least 100ms on pin 55 of connector A,"- When only accelerator pedal position 2 is faulty, the machine will go into limp home mode (reduced functionality to go to the workshop)
- When both accelerator pedal positions are faulty, the engine will only run at low idle speed
- The accelerator pedal position 2 is a safety critical input, therefor the fault will only be reset after a key cycle","- The accelerator pedal position circuit is described in Electric Diagram of the YTCC2
- Measure the voltage in the accelerator pedal position 2 circuit, valid range is between 575 - 2075 mV
- Measure the suppply voltage, this must be 5V
- Measure the grounding of the accelerator pedal position 2 circuit, make sure the ignition is inactive
- Replace accelerator pedal"
29,4,Terberg - CC2 (ytxx3) - 4.1,Accelerator pedal position 2,Accelerator Pedal position 2 sensor short circuit to ground,Critical,The controller measures a voltage below 225mV for at least 100ms on pin 55 of connector A,"- When only accelerator pedal position 2 is faulty, the machine will go into limp home mode (reduced functionality to go to the workshop)
- When both accelerator pedal positions are faulty, the engine will only run at low idle speed
- The accelerator pedal position 2 is a safety critical input, therefor the fault will only be reset after a key cycle","- The accelerator pedal position circuit is described in Electric Diagram of the YTCC2
- Measure the voltage in the accelerator pedal position 2 circuit, valid range is between 575 - 2075 mV
- Measure the suppply voltage, this must be 5V
- Measure the grounding of the accelerator pedal position 2 circuit, make sure the ignition is inactive
- Replace accelerator pedal"
29,11,Terberg - CC2 (ytxx3) - 4.1,Accelerator pedal position 2,Accelerator Pedal position 2 sensor root cause not known,Critical,"The controller determines an issue on pin 55 of connector A. Specific root cause can't be determined. Potential hardware, software, firmware or configuration issue","- When only accelerator pedal position 2 is faulty, the machine will go into limp home mode (reduced functionality to go to the workshop)
- When both accelerator pedal positions are faulty, the engine will only run at low idle speed
- The accelerator pedal position 2 is a safety critical input, therefor the fault will only be reset after a key cycle","- Contact the aftersales department for support via the portal

In order to facilitate adequate support please supply the following information:
1) Detailed description of failure e.g. specific reproducable trigger conditions or behavior (reoccurs every key cycle or from a certain speed etc)
2) Log file from DIM, of the faulty scenario
3) Photo or movie of the behavior or of the DIM e.g. Dashboard view, Faultcodes view, IO Check view, CAN network check view, About menu view
4) Updated software or parameter set recently, from Terberg or 3rd party systems e.g. Engine, Transmission? If so, please supply us with details."
36,7,Allison - Gen 5,Unexpected mech disengagement,Unexpected Mechanical Gear Disengagement,Warning,,,
51,2,Cummins - Stage V,Engine throttle valve 1 position 1,"P3542 - Engine intake throttle actuator position sensor - data erratic, intermittent, or incorrect",Warning,,,
51,3,Cummins - Stage V,Engine throttle valve 1 position 1 / Engine intake throttle actuator position sensor circuit,P3539 / P6497 - Engine intake throttle actuator position sensor circuit - voltage above normal or shorted to high source,Warning,,,
51,4,Cummins - Stage V,Engine throttle valve 1 position 1 / Engine intake throttle actuator position sensor circuit,P3541 / P6498 - Engine intake throttle actuator position sensor circuit - voltage below or above normal or shorted to low source,Warning,,,
70,2,Cummins - Stage V,Parking brake switch,"P6618 - Parking brake switch - data erratic, intermittent, or incorrect",Warning,,,
