Alert Fault code #,Alert message,Meaning,Color,Vehicle immediate response,Vehicle sends fault to AVCS?,Vehicle sends mi_request?,Severity,AVC Action, Remote Operator Action,Last Updated Version,Categorization,Ops Troubleshoot Guide,Notes,Stop Reason,PSA,KN,ABT,BNS,Rationale,Internal Comments,"trigger
breakdown",FT reference,Associated Reasons,,,,,,,,,,,,,,,,,,,,,
0,Localization Critical,There is a critical localization fault present.,Amber,Vehicle performs Temporary Hard Stop,No,No,INFO,,,v6.5.7,"Venti /
Middleware"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,Implemented,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Localization Degraded,There is a less critical localization fault present.,Amber,Vehicle performs Temporary Soft Stop,No,No,INFO,,,v6.5.7,"Venti /
Middleware"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,Implemented,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Traffic Light Unknown,The vehicle is unable to determine the current traffic light status for more than 15 seconds. This alert will be displayed in conjunction with other traffic light alerts to explain the reason why the vehicle was unable to detect the traffic light status.,Amber - Action Required,Vehicle treats traffic light as amber,No,"Yes, Non-Technical MI",INFO,,Perform Traffic Light Override to allow the vehicle to continue moving.,v5.41.7,"Manual Intervention /
Traffic Light"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,FALSE,Tested,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Timeout (Other),"The vehicle has been stopped in the location for more than 600 seconds. This timeout is for cases that do not fit into any of the other ""Timeout"" alert categories. The timer will reset upon remote operator linkup.",Amber - Action Required,,No,"Yes, Non-Technical MI",INFO,,"Observe the situation, use remote operations functionality to assist the vehicle if this is a false positive.",v5.41.7,"Manual Intervention /
Timeout"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,FALSE,Tested,N/A,N/A,N/A,"Should not occur, to fix FPs",,,,,,,,,,,,,,,,,,,,,,,,,
5,V2I Connection Lost,"The vehicle is not able to connect to V2I for traffic light detection. This provides a reason for the mi_request generated by alert ""[2] Traffic Light Unknown"".",Amber,,No,No,INFO,,,v5.33.31,"PSA /
Traffic Light"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,FALSE,Tested,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
6,V2I High Latency,"The vehicle detects that V2I connection required for traffic light detection is a experiencing a high latency. This provides a reason for the mi_request generated by alert ""[2] Traffic Light Unknown"".",Amber,,No,No,INFO,,,v5.33.31,"PSA /
Traffic Light"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,FALSE,Tested,N/A,N/A,N/A,,,,,"Float
Value > 1000.0",,,,,,,,,,,,,,,,,,,,,
7,Critical Middleware Fault,The vehicle has a critical middleware fault present. One of the software components has failed.,Red,Vehicle performs Hard Stop and then Pause,Yes,No,FATAL,Soft reboot required,,v6.1.16,"Venti /
Middleware","If alert persist, perform soft reboot.",,TRUE,Tested,Tested,Tested,Tested,,One of the nodes died on main pc.,,,,,,,,,,,,,,,,,,,,,,,,
10,Low Fuel,The fuel level is low (< 20%).,Amber - Action Required,,Yes,No,WARNING,Refueling required,,v5.33.31,"Operations /
Routine Maintenance","1. Send APM for refuel job.
2. If ""actual fuel level"" and ""reported fuel level"" is different, send to SR for further checks.",,FALSE,Tested,Tested,Draft,N/A,,,,,"Fuel level percentage as float
10 <= Value < 20.0",,,,,,,,,,,,,,,,,,,,,
11,Critically Low Brake Reservoir Pressure (Front Brakes),The brake system reservoir pressure is critically low (< 5.8 bar) and needs to be recharged.,Amber,,No,"Yes, Technical MI",INFO,,"Wait for the brakes to recharge, resume vehicle when recharge completes.",v6.11.12,"Hardware /
Brake"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,Draft,Draft,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Remote Operations Connection Lost,The connection from the remote console to the vehicle has high latency. This alert and corresponding behavior only happens within 10 seconds of the remote operator perfoming an action on the remote console.,Red - Action Required,Vehicle performs Safe Stop and then Pause,No,"Yes, Non-Technical MI",INFO,,"Establish that the vehicle can be linked up to and press Resume to continue operations. If unable to connect, let the supervisor know to consider service recovery. ",v6.6.13,"Manual Intervention /
Network"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Implemented,Implemented,N/A,,,,FT-006,,,,,,,,,,,,,,,,,,,,,,
13,Critically High CPU Usage,System CPU usage is critically high (> 90%). This has potential to affect other parts of the system and lead to critical breakdown.,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.47.12,"Hardware /
Computer"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,Implemented,Tested,,,,,"CPU usage as float
Value > 90.0",,,,,,,,,,,,,,,,,,,,,
14,Critically High CPU Memory Usage,System memory usage is abnormally high (> 90%). This has potential to affect other parts of the system and lead to critical breakdown.,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v6.1.16,"Hardware /
Computer"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,Implemented,Tested,,,,,"Memory usage as float
Value > 90.0",,,,,,,,,,,,,,,,,,,,,
15,CPU Frequency Over Threshold,System CPU frequency is abnormally high (> 5.0GHz).,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Computer"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,TRUE,Tested,Tested,Implemented,Tested,,,,,"CPU frequency as float
Value > 5000.0",,,,,,,,,,,,,,,,,,,,,
16,Critically Low CPU Frequency,System CPU frequency is critically low (< 3.3GHz). This has potential to affect other parts of the system and lead to critical breakdown.,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Computer","1. Ensure that A/C's is cold and  air flow is at max position if not, shutdown for 10min to cool down the system. Then resume.
2. If alert persist, report SR to check further.",,TRUE,Tested,Tested,Implemented,Tested,,,,,"CPU frequency as float
Value < 1500.0",,,,,,,,,,,,,,,,,,,,,
17,Critically High CPU Temperature,System CPU temperature is abnormally high (> 90°C). This could happen if the casing on the computer is not properly done. This has potential to affect other parts of the system and lead to critical breakdown.,Red,Vehicle performs Safe Stop and then Pause,No,"Yes, Technical MI",ERROR,,"Observe the vehicle performance, resume vehicle when error disappears.",v5.33.31,"Hardware /
Computer","1. Ensure that A/C's is cold and  air flow is at max position if not, shutdown for 10min to cool down the system. Then resume.
2. If alert persist, report SR to check further.",,TRUE,Tested,Tested,Implemented,Tested,,,,,"CPU Temperature as float
Value > 90.0",,,,,,,,,,,,,,,,,,,,,
18,Perception System Warning: Abnormal Trailer,"Vehicle detects that the trailer detection has some issue, displayed trailer may not be accurate.",No Display,,No,No,INFO,,,v5.47.12,"Venti /
Middleware"," 
1. If alert persist, perform soft reboot.
2. If alert persist, perform hard reboot.
3. If alert persist, send to SR for further checks.",,FALSE,Tested,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
